거래시간,종목코드,현재가,상승확률(%),기대수익,예상손실,손익비,주문수량,주문종류,주문결과,상증확률(%)
2025-07-11 00:47:14,34950.0,99800.0,93.0,5484.16,2359.61,2.32,201.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:47:18,138040.0,116600.0,83.0,6055.53,2828.05,2.14,154.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:47:45,2840.0,167000.0,51.0,2124.59,8655.63,0.25,5.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:47:48,34950.0,99800.0,93.0,5445.29,2378.46,2.29,184.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:47:52,138040.0,116600.0,93.0,6447.89,2394.12,2.69,215.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:48:19,2840.0,167000.0,59.0,2029.81,7986.97,0.25,6.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:48:23,34950.0,99800.0,87.0,5859.41,2824.41,2.07,160.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:48:27,138040.0,116600.0,84.0,5714.83,2529.94,2.26,194.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:48:54,2840.0,167000.0,73.0,2456.84,7972.77,0.31,7.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:48:57,34950.0,99800.0,91.0,5821.58,2359.43,2.47,209.0,매수,모의투자 장시작전 입니다.,
2025-07-11 00:49:01,138040.0,116600.0,92.0,5495.88,2475.11,2.22,179.0,매수,모의투자 장시작전 입니다.,
2025-07-11 11:56:34,2840.0,166600.0,68.0,3141.82,6448.88,0.49,18.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 11:56:38,34950.0,100100.0,85.0,5301.65,2651.56,2.0,188.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 11:56:42,138040.0,117900.0,88.0,5010.08,3303.9,1.52,114.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 13:48:43,2840.0,166600.0,68.0,3141.82,6448.88,0.49,18.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 13:48:47,34950.0,100400.0,86.0,5412.03,2640.18,2.05,190.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 13:48:51,138040.0,118000.0,88.0,5046.24,3298.96,1.53,114.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 15:20:44,2840.0,166800.0,68.0,3155.75,6407.21,0.49,18.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 15:20:47,34950.0,100200.0,86.0,5337.43,2647.47,2.02,187.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-11 15:20:51,138040.0,118200.0,88.0,5118.74,3289.04,1.56,116.0,매수,모의투자 매수주문이 완료 되었습니다.,
2025-07-14 17:28:14,5930.0,62500.0,90.0,3823.98,1312.43,2.91,349.0,매수,모의투자 장종료 입니다.,
2025-07-14 17:28:18,35720.0,58300.0,89.0,9983.38,2897.69,3.45,186.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:38:59,14830.0,89500.0,76.0,4303.65,5978.08,0.72,32.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:39:02,90430.0,139400.0,84.0,8210.54,6134.3,1.34,58.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:39:06,34950.0,100100.0,90.0,5108.99,3016.76,1.69,149.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:50:22,14830.0,89500.0,76.0,4303.65,5978.08,0.72,32.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:50:26,90430.0,139400.0,84.0,8210.54,6134.3,1.34,58.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:50:30,34950.0,100100.0,90.0,5108.99,3016.76,1.69,149.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:50:56,14830.0,89500.0,81.0,4998.27,5862.97,0.85,34.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:51:00,90430.0,139400.0,84.0,9829.64,5468.63,1.8,77.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:51:03,34950.0,100100.0,85.0,4693.82,3001.11,1.56,123.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:51:30,14830.0,89500.0,83.0,6816.0,4434.3,1.54,78.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:51:34,90430.0,139400.0,83.0,8651.24,7024.09,1.23,39.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:51:37,34950.0,100100.0,91.0,4851.09,2896.93,1.67,130.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:52:04,14830.0,89500.0,71.0,5343.05,5498.75,0.97,48.0,매수,모의투자 장종료 입니다.,
2025-07-15 15:52:07,90430.0,139400.0,81.0,9326.07,6278.46,1.49,65.0,매수,모의투자 장종료 입니다.,
