timestamp,cpu_percent,memory_percent,net_sent_MB,net_recv_MB
2025-07-24 13:56:35.421583,21.1,84.5,0.00,0.01
2025-07-24 13:56:36.450170,37.7,84.1,0.01,0.02
2025-07-24 13:56:37.465082,17.6,84.0,0.00,0.00
2025-07-24 13:56:38.491968,37.9,84.1,0.00,0.02
2025-07-24 13:56:39.513190,31.7,84.2,0.01,0.06
2025-07-24 13:56:40.544597,31.7,84.4,0.02,1.07
2025-07-24 13:56:41.554829,26.9,84.4,0.03,3.65
2025-07-24 13:56:42.578966,22.4,84.2,0.01,0.58
2025-07-24 13:56:43.595180,18.7,84.5,0.00,0.01
2025-07-24 13:56:44.615449,29.5,85.2,0.00,0.01
2025-07-24 13:56:45.632975,27.0,85.0,0.00,0.00
2025-07-24 13:56:46.645270,22.6,85.0,0.00,0.00
2025-07-24 13:56:47.664258,24.6,85.1,0.00,0.00
2025-07-24 13:56:48.680608,26.5,85.0,0.00,0.00
2025-07-24 13:56:49.685286,39.9,84.9,0.00,0.00
2025-07-24 13:56:50.711847,19.7,85.0,0.00,0.00
2025-07-24 13:56:51.716663,32.6,85.0,0.00,0.00
2025-07-24 13:56:52.748422,27.0,85.1,0.00,0.00
2025-07-24 13:56:53.766156,24.7,85.1,0.00,0.00
2025-07-24 13:56:54.769887,46.9,85.2,0.00,0.00
2025-07-24 13:56:55.801006,25.9,85.3,0.00,0.00
2025-07-24 13:56:56.838116,20.7,85.2,0.00,0.00
2025-07-24 13:56:57.858363,69.8,85.5,0.00,0.00
2025-07-24 13:56:58.873384,28.2,85.5,0.00,0.01
2025-07-24 13:56:59.888120,36.3,85.5,0.01,0.01
2025-07-24 13:57:00.903123,28.5,85.5,0.00,0.02
2025-07-24 13:57:01.918978,40.5,85.5,0.00,0.02
2025-07-24 13:57:02.938958,23.5,85.3,0.00,1.04
2025-07-24 13:57:03.968013,21.9,85.4,0.02,3.00
2025-07-24 13:57:04.987777,32.9,85.5,0.00,0.00
2025-07-24 13:57:06.001399,19.6,85.4,0.00,0.00
2025-07-24 13:57:07.019173,19.2,85.3,0.00,0.05
2025-07-24 13:57:08.065383,21.3,85.2,0.00,0.08
2025-07-24 13:57:09.092826,20.0,85.3,0.00,0.05
2025-07-24 13:57:10.114491,34.0,84.8,0.00,0.08
2025-07-24 13:57:11.129989,23.0,84.8,0.00,0.03
2025-07-24 13:57:12.166251,24.9,84.8,0.00,0.08
2025-07-24 13:57:13.202300,23.0,84.8,0.00,0.47
2025-07-24 13:57:14.237310,19.3,84.8,0.00,0.07
